,depth,magnitude
0,16.93,4.4
1,10.0,4.7
2,10.37,3.16
3,3.65,2.9
4,38.17,2.58
5,2.65,2.8
6,9.01,2.61
7,17.12,4.4
8,1.74,2.88
9,38.0,3.2
10,10.0,5.3
11,82.7,2.7
12,10.0,5.4
13,10.0,4.1
14,10.0,5.0
15,0.0,3.4
16,10.0,4.2
17,30.0,3.24
18,4.9,2.8
19,16.66,5.0
20,8.28,4.3
21,5.0,3.3
22,10.0,5.0
23,4.96,2.7
24,10.0,4.8
25,-2.1,2.85
26,1.4,2.6
27,8.0,3.17
28,52.34,4.7
29,44.0,3.42
30,162.17,4.5
31,36.21,4.7
32,10.0,4.6
33,0.1,3.0
34,2.49,2.5
35,10.0,4.4
36,10.0,5.2
37,14.55,2.93
38,252.43,4.3
39,9.5,2.5
40,15.0,3.18
41,204.53,4.2
42,40.5,3.2
43,134.72,4.7
44,140.26,4.8
45,29.76,3.17
46,10.2,2.7
47,123.0,3.4
48,3.3,2.9
49,6.86,2.75
50,35.0,4.5
51,21.69,2.8
52,110.49,4.7
53,9.08,2.68
54,51.94,4.5
55,1.18,3.2
56,65.9,4.9
57,83.32,4.4
58,30.02,4.3
59,98.0,2.53
60,56.0,3.14
61,14.0,3.2
62,8.46,2.54
63,20.72,3.2
64,20.5,3.6
65,10.0,5.0
66,10.0,4.2
67,28.7,2.7
68,103.51,5.2
69,10.0,4.7
70,1.6,2.7
71,6.02,2.82
72,5.57,2.63
73,5.62,2.53
74,18.44,4.3
75,13.7,2.72
76,10.68,3.56
77,49.0,3.07
78,40.84,5.0
79,7.12,2.83
80,210.31,4.9
81,0.0,3.7
82,0.0,2.9
83,95.97,5.0
84,20.94,2.7
85,5.44,2.84
86,9.8,2.9
87,177.6,4.6
88,11.0,3.0
89,51.42,4.8
90,51.4,2.6
91,11.1,2.6
92,10.0,4.8
93,10.0,4.7
94,19.93,4.2
95,80.4,3.0
96,10.0,4.0
97,12.43,4.3
98,174.88,4.3
99,89.0,3.59
100,19.49,4.2
101,10.0,4.7
102,3.95,2.55
103,10.0,5.3
104,81.5,2.8
105,41.26,4.8
106,0.8,2.8
107,5.97,2.81
108,10.0,4.6
109,4.65,2.87
110,17.0,2.86
111,49.08,4.4
112,10.0,4.3
113,4.71,2.81
114,10.0,4.5
115,139.94,4.5
116,10.0,4.2
117,10.0,4.5
118,8.09,2.47
119,46.6,4.4
120,10.0,4.6
121,10.0,2.9
122,197.7,2.8
123,190.01,4.2
124,7.08,3.9
125,57.48,5.0
126,81.29,4.2
127,10.0,4.6
128,18.08,3.9
129,28.58,5.3
130,16.3,3.2
131,53.97,4.6
132,6.33,2.98
133,10.0,4.5
134,12.0,3.0
135,31.65,4.4
136,40.17,5.9
137,10.0,4.5
138,6.4,2.6
139,0.1,3.9
140,10.0,5.0
141,10.0,4.8
142,10.0,4.3
143,77.2,2.7
144,75.98,4.2
145,11.0,3.06
146,5.8,2.7
147,7.71,2.52
148,102.6,4.8
149,105.0,2.84
150,3.98,2.6
151,27.69,4.3
152,36.2,3.2
153,0.7,2.7
154,98.0,3.52
155,4.38,2.9
156,54.0,2.8
157,47.78,4.9
158,10.0,2.7
159,0.0,2.8
160,7.76,2.82
161,10.15,2.76
162,84.0,3.42
163,10.0,4.8
164,123.63,4.1
165,6.42,2.51
166,9.83,3.12
167,8.5,2.6
168,9.92,2.66
169,10.31,2.93
170,10.0,4.5
171,10.0,5.1
172,10.12,2.7
173,9.85,2.91
174,4.0,3.24
175,8.04,2.48
176,41.9,4.4
177,0.0,3.3
178,106.59,4.6
179,7.18,2.6
180,82.0,3.65
181,10.0,3.9
182,65.0,2.7
183,5.83,2.56
184,140.2,2.8
185,18.69,4.7
186,95.4,4.6
187,10.84,4.9
188,65.0,3.07
189,6.0,2.69
190,6.28,2.6
191,9.97,2.89
192,22.92,2.73
193,9.89,3.11
194,6.56,2.54
195,7.05,2.57
196,5.87,2.6
197,115.18,5.0
198,4.32,3.0
199,19.06,3.2
200,9.15,2.73
201,16.66,4.8
202,59.92,5.3
203,61.0,3.12
204,8.09,2.46
205,20.89,4.0
206,17.07,4.3
207,23.0,2.64
208,32.02,3.9
209,10.0,4.6
210,19.77,3.6
211,10.0,4.2
212,4.51,3.9
213,20.78,5.1
214,3.0,2.59
215,32.7,3.4
216,16.58,2.65
217,63.1,4.9
218,9.05,2.66
219,33.02,5.0
220,9.7,2.8
221,11.01,4.2
222,10.0,4.1
223,14.71,2.71
224,6.6,2.47
225,10.0,4.0
226,6.5,3.9
227,6.72,2.91
228,77.12,4.3
229,5.0,2.8
230,10.0,4.2
231,37.14,4.6
232,136.0,3.14
233,10.0,4.2
234,50.78,4.3
235,10.0,4.3
236,57.94,4.7
