HashProjectID,AverageCount,AverageForecast,Error,AbsError,PercentError,AbsPE,UnemploymentRate_ForecastYear,UnemploymentRate_YearProduced,UnemploymentRate_OpeningYear,Diff_Year,UnifiedImprovementType,Forecast_Method,Area_Type,ForecastYear,YearForecastProduced,Year_ofObservation,ImprovementType,Agency,FunctionalClass
1,67797.5,69861.25,-2063.75,2063.75,-2.954069674,2.954069674,5.4,6.3,5.4,1,2,6,3,2005,2004,2006,11,6,1
2,99720,99724,-4,4,-0.004011071,0.004011071,8.9,8.9,10.2,5,1,6,3,2017,2012,2010,1,6,1
3,28800,31001,-2201,2201,-7.099770975,7.099770975,6.5,5.9,6.5,3,3,6,3,2009,2006,2008,12,6,1
4,4610,4910,-300,300,-6.109979633,6.109979633,10.2,10.3,10.2,1,1,6,3,2010,2009,2010,1,6,5
5,53705,60317.5,-6612.5,6612.5,-10.96282173,10.96282173,6.5,5.9,6.5,5,1,6,3,2010,2005,2008,3,6,1
6,580,635,-55,55,-8.661417323,8.661417323,10.2,6.5,10.2,0,1,6,3,2008,2008,2010,1,6,6
7,34445,28621.75,5823.25,5823.25,20.34554142,20.34554142,10.2,5.9,10.2,2,1,6,3,2007,2005,2010,3,6,4
8,15556,16568.738,-1012.738,1012.738,-6.112342413,6.112342413,10.3,5.5,10.3,6,1,6,3,2013,2007,2009,2,6,3
9,54630,58143.33333,-3513.333333,3513.333333,-6.042538554,6.042538554,10.2,6.3,10.2,6,2,6,3,2009,2003,2010,11,6,1
10,2190,2193.5,-3.5,3.5,-0.159562343,0.159562343,6.5,6.5,6.5,0,1,6,3,2009,2009,2008,1,6,5
11,2040,2790,-750,750,-26.88172043,26.88172043,10.2,10.3,10.2,1,1,6,3,2010,2009,2010,1,6,5
12,3600,5010,-1410,1410,-28.14371257,28.14371257,8.6,4.9,8.6,3,3,1,2,2010,2007,2010,12,1,3
13,66695,76644.5,-9949.5,9949.5,-12.981362,12.981362,10.2,10.2,10.2,2,1,6,3,2012,2010,2010,1,6,1
14,11820,10880,940,940,8.639705882,8.639705882,4.9,4.9,4.9,0,3,1,1,2007,2007,2007,12,1,3
15,67020,62530,4490,4490,7.180553334,7.180553334,6.3,5.8,6.3,1,3,6,3,2003,2002,2003,12,6,1
16,2100,1900,200,200,10.52631579,10.52631579,4.9,7.4,4.9,2,3,6,3,2014,2012,2015,12,6,5
17,3178.333333,3329.166667,-150.8333333,150.8333333,-4.530663329,4.530663329,8.6,4.9,8.6,2,3,1,2,2009,2007,2009,12,1,4
18,6460,8310,-1850,1850,-22.26233454,22.26233454,7.8,4.9,7.8,4,3,1,1,2011,2007,2011,12,1,3
19,7760,9880,-2120,2120,-21.45748988,21.45748988,10.3,10.3,10.3,1,1,6,3,2010,2009,2009,1,6,3
20,8020,6617,1403,1403,21.20296207,21.20296207,6.5,6.5,6.5,2,1,6,3,2010,2008,2008,1,6,5
21,15180,14348.5,831.5,831.5,5.795030839,5.795030839,5.5,6.3,5.5,2,3,6,3,2006,2004,2007,12,6,4
22,22520,25350.25,-2830.25,2830.25,-11.16458418,11.16458418,10.3,10.3,10.3,1,1,6,3,2010,2009,2009,1,6,5
23,21435,24301,-2866,2866,-11.79375334,11.79375334,10.3,10.3,10.3,1,1,6,3,2010,2009,2009,1,6,5
24,22230,30520,-8290,8290,-27.16251638,27.16251638,10.2,5.9,10.2,2,1,6,3,2007,2005,2010,1,6,1
25,4620,7151.67,-2531.67,2531.67,-35.39970385,35.39970385,10.3,5.9,10.3,2,1,6,3,2007,2005,2009,1,6,3
26,875,1117.5,-242.5,242.5,-21.70022371,21.70022371,10.2,5.65,10.2,2,1,6,3,2008,2006,2010,1,6,5
27,4030,5124.047143,-1094.047143,1094.047143,-21.35123102,21.35123102,10.22857143,5.4,10.22857143,2,1,6,3,2008,2006,2010,1,6,3
28,9140,12087.5,-2947.5,2947.5,-24.38469493,24.38469493,6.5,5.9,6.5,2,1,6,3,2007,2005,2008,1,6,3
29,1300,2900,-1600,1600,-55.17241379,55.17241379,4.9,4.7,4.9,3,3,4,2,2008,2005,2008,12,1,4
30,103690,90623,13067,13067,14.41907683,14.41907683,5.5,6.3,5.5,1,3,6,3,2005,2004,2007,12,6,1
31,6750,7045,-295,295,-4.187366927,4.187366927,10.25,10.2,10.2,4,1,6,3,2014,2010,2010,2,6,4
32,5700,6350,-650,650,-10.23622047,10.23622047,4.7,4.7,4.7,1,3,1,1,2006,2005,2006,12,1,5
33,13817.3913,16991.30435,-3173.913043,3173.913043,-18.67963153,18.67963153,8.6,4.7,8.6,4,3,4,2,2009,2005,2009,12,1,8
34,32600,37200,-4600,4600,-12.3655914,12.3655914,8.6,4.7,8.6,5,3,1,1,2010,2005,2010,12,1,1
35,12990,15657.5,-2667.5,2667.5,-17.03656395,17.03656395,10.3,5.8,10.2,3,3,6,3,2005,2002,2010,12,6,3
36,14545,15840,-1295,1295,-8.175505051,8.175505051,5.9,6.3,5.9,2,1,6,3,2005,2003,2005,1,6,1
37,4390,6120,-1730,1730,-28.26797386,28.26797386,10.3,5.5,10.3,2,1,6,3,2009,2007,2009,1,6,3
38,1000,1367,-367,367,-26.84711046,26.84711046,10.3,10.3,10.3,1,1,6,3,2010,2009,2009,1,6,5
39,10890,14509.58333,-3619.583333,3619.583333,-24.94615628,24.94615628,10.2,4,10.2,4,3,6,3,2003,1999,2010,12,6,4
40,7810,10430.83333,-2620.833333,2620.833333,-25.12582887,25.12582887,10.2,5.8,10.2,3,3,6,3,2005,2002,2010,12,6,3
